species,DE3_S7,DE4_S8,DT3_S15,DT4_S16
Staphylococcus aureus,20966,21271,24288,23534
Staphylococcus sp. MZ8,179,90,225,313
Staphylococcus sp. NRL 22/194,1,NA,2,NA
Staphylococcus argenteus,21,17,16,18
Staphylococcus schweitzeri,17,25,16,16
Staphylococcus saprophyticus,11,14,9,8
Staphylococcus simiae,10,2,4,4
Staphylococcus epidermidis,7,10,6,8
Staphylococcus agnetis,5,5,3,2
Staphylococcus caprae,3,1,NA,1
Staphylococcus haemolyticus,3,NA,1,1
Staphylococcus devriesei,3,1,1,NA
Staphylococcus capitis,2,2,2,1
Staphylococcus warneri,2,2,8,NA
Staphylococcus pseudintermedius,1,1,NA,NA
Staphylococcus hominis,1,1,5,NA
Staphylococcus ratti,1,NA,NA,NA
Staphylococcus pettenkoferi,1,1,NA,NA
Staphylococcus carnosus,1,NA,NA,NA
Staphylococcus casei,1,2,2,2
Macrococcoides caseolyticum,2,1,NA,NA
Listeria monocytogenes,19778,20638,23897,22698
Listeria innocua,229,223,472,260
Listeria welshimeri,43,23,32,17
Listeria swaminathanii,23,37,43,25
Listeria seeligeri,26,34,27,28
Listeria ivanovii,20,25,12,18
Listeria sp. PSOL-1,1,NA,1,NA
Listeria newyorkensis,1,NA,NA,NA
Listeria grayi,1,NA,NA,1
Bacillus spizizenii,18710,20550,21603,22100
Bacillus subtilis,430,784,3572,666
Bacillus velezensis,23,27,43,70
Bacillus amyloliquefaciens,12,7,4,22
Bacillus inaquosorum,39,35,38,28
Bacillus vallismortis,21,42,49,29
Bacillus halotolerans,16,13,7,21
Bacillus atrophaeus,13,6,9,6
Bacillus stercoris,34,46,37,44
Bacillus tequilensis,9,2,7,10
Bacillus rugosus,27,13,21,12
Bacillus sp. BC1-43,14,NA,NA,NA
Bacillus sp. FSL K6-1003,2,NA,1,NA
Bacillus sp. FSL K6-1012,5,NA,7,NA
Bacillus paranthracis,9,NA,NA,NA
Bacillus cabrialesii,8,8,5,5
Priestia megaterium,1,NA,NA,1
Peribacillus asahii,1,NA,NA,NA
Rossellomorea marisflavi,1,NA,NA,NA
Paenibacillus sp. FSL W8-0194,2,6,2,4
Paenisporosarcina sp. FSL H8-0542,1,NA,NA,NA
Exiguobacterium mexicanum,1,NA,NA,1
Enterococcus faecalis,19418,20289,23582,22276
Enterococcus sp. DIV2402,3,2,2,NA
Enterococcus sp. 9E7_DIV0242,2,1,2,2
Enterococcus sp. 9D6_DIV0238,2,7,5,1
Enterococcus sp. DIV0849a,1,NA,1,2
Enterococcus sp. CR-Ec1,2,NA,NA,NA
Enterococcus thailandicus,3,1,4,3
Enterococcus saigonensis,2,1,NA,1
Enterococcus mundtii,2,NA,NA,1
Enterococcus dispar,2,NA,NA,NA
Enterococcus gilvus,1,NA,NA,NA
Enterococcus hirae,1,NA,1,1
Enterococcus faecium,1,1,1,4
Vagococcus coleopterorum,1,NA,NA,NA
Limosilactobacillus fermentum,12706,14808,17896,15822
Limosilactobacillus gastricus,1,NA,NA,NA
Limosilactobacillus reuteri,1,1,1,3
Lactiplantibacillus plantarum,1,NA,5,3
Lactiplantibacillus pentosus,1,NA,NA,1
Weissella paramesenteroides,2,NA,2,NA
Ligilactobacillus salivarius,2,NA,NA,NA
Loigolactobacillus coryniformis,1,NA,NA,1
Lacticaseibacillus paracasei,1,2,3,2
Fructilactobacillus sanfranciscensis,1,NA,NA,1
Lactobacillus sp. 3B(2020),1,1,NA,NA
Companilactobacillus farciminis,1,NA,2,NA
Haloimpatiens sp. FM7330,1,NA,NA,NA
Clostridium tyrobutyricum,1,NA,NA,NA
Ndongobacter massiliensis,1,NA,NA,NA
Actinomyces oris,15,22,17,11
Streptomyces sp. NBC_01288,1,NA,NA,NA
Streptomyces sp. HNA39,1,NA,NA,NA
Streptomyces coeruleorubidus,1,NA,NA,NA
Leucobacter tenebrionis,1,NA,NA,NA
Actinomadura graeca,1,NA,NA,NA
Raoultibacter timonensis,1,NA,NA,NA
Vulcanimicrobium alpinum,1,NA,NA,NA
Salmonella enterica,22466,25466,28814,28556
Salmonella sp. SA14318,12,25,6,NA
Salmonella sp. HY31,3,NA,NA,NA
Salmonella bongori,9,12,10,10
Escherichia coli,10696,13712,17786,13808
Escherichia albertii,17,23,14,14
Escherichia sp. E4742,10,6,14,8
Escherichia marmotae,12,12,15,7
Escherichia fergusonii,14,13,19,12
Shigella dysenteriae,97,89,66,92
Shigella flexneri,394,673,498,498
Shigella sonnei,75,29,8,22
Shigella boydii,100,118,78,73
Klebsiella pneumoniae,54,24,76,14
Klebsiella quasivariicola,1,NA,NA,NA
Raoultella ornithinolytica,3,NA,NA,1
Citrobacter werkmanii,3,NA,1,8
Citrobacter braakii,8,8,3,NA
Citrobacter portucalensis,2,NA,NA,3
Citrobacter gillenii,3,NA,NA,NA
Citrobacter sedlakii,1,NA,NA,NA
Enterobacter roggenkampii,2,NA,1,NA
Enterobacter asburiae,3,NA,3,6
Enterobacter kobei,1,4,NA,2
Enterobacter hormaechei,2,NA,NA,3
Enterobacter cloacae,1,NA,1,1
Enterobacter sp. 638,3,3,3,1
Enterobacter soli,2,NA,NA,NA
Enterobacter oligotrophicus,1,NA,NA,NA
Kosakonia sp. MUSA4,2,NA,NA,NA
Kosakonia calanthes,2,NA,NA,1
Kosakonia arachidis,1,NA,1,NA
Pluralibacter gergoviae,1,NA,NA,NA
Cronobacter dublinensis,1,1,NA,NA
Proteus mirabilis,1,NA,1,NA
Morganella morganii,1,NA,NA,NA
Erwinia tasmaniensis,1,NA,NA,NA
Buchnera aphidicola,1,1,1,1
Pectobacterium atrosepticum,1,NA,NA,NA
Candidatus Sodalis pierantonius,1,1,NA,NA
Pseudomonas aeruginosa,11881,15463,17540,15825
Pseudomonas anguilliseptica,1,NA,1,NA
Pseudomonas sp. CIP-10,128,95,184,111
Pseudomonas sp. L5B5,1,NA,NA,NA
Pseudomonas sp. HR96,1,NA,1,1
Pseudomonas sp. B21-021,1,NA,NA,NA
Pseudomonas sp. 7SR1,1,NA,NA,NA
Pseudomonas sp. nanlin1,1,NA,NA,NA
Pseudomonas sp. PS1(2021),10,NA,NA,NA
Pseudomonas sp. LRP2-20,1,NA,NA,NA
Pseudomonas sp. CCOS 191,1,NA,NA,NA
Pseudomonas mediterranea,1,NA,NA,NA
Pseudomonas poae,1,NA,NA,NA
Pseudomonas chlororaphis,1,2,NA,11
Pseudomonas hormoni,1,NA,NA,NA
Pseudomonas agarici,1,NA,NA,1
Pseudomonas rhizosphaerae,1,NA,NA,NA
Pseudomonas wenzhouensis,1,NA,NA,NA
Pseudomonas vanderleydeniana,1,NA,1,NA
Pseudomonas benzenivorans,1,1,1,NA
Neptuniibacter halophilus,6,NA,10,8
Vibrio chagasii,2,NA,1,NA
Photobacterium damselae,1,NA,NA,NA
Rickettsiella endosymbiont of Rhagonycha lignosa,1,NA,NA,NA
Legionella cherrii,1,1,NA,NA
Spongiibacter taiwanensis,1,NA,NA,NA
Burkholderia multivorans,14,22,21,17
Comamonas endophytica,1,NA,NA,NA
Ottowia sp. oral taxon 894,1,NA,NA,NA
Janthinobacterium sp. Marseille,1,NA,NA,NA
Tistrella bauzanensis,1,NA,NA,NA
Rhizobium sp. SL42,1,NA,NA,NA
Neokomagataea tanensis,1,NA,1,NA
Belliella baltica,1,NA,NA,NA
Emticicia sp. 21SJ11W-3,1,NA,NA,NA
uncultured Acetobacteroides sp.,1,NA,1,1
Chryseobacterium sp. MYb264,1,NA,NA,NA
Sulfurospirillum multivorans,1,NA,NA,NA
Archangium violaceum,1,NA,NA,NA
Pseudodesulfovibrio sediminis,1,NA,NA,NA
Luteolibacter sp. SL250,1,NA,NA,NA
Homo sapiens,44,22,48,49
Methanosphaera stadtmanae,1,NA,NA,NA
Avian coronavirus,1,NA,NA,NA
