run_id,db_name,runtime,sample,trim_clip,trim_head,trim_lead,trim_crop,trim_sliding_win,trim_trail,trim_min_len,trim_paired,trim_both,trim_fw_only,trim_rev_only,trim_dropped,bt_prefix,bt_mode,bt_sensitivity,bt_mixed,bt_discordant,bt_paired,bt_conc_0,bt_conc_1,bt_conc_more,kraken2_min_hits,kraken2_total,kraken2_classified,kraken2_unclassified,bracken_thresh,bracken_species,bracken_species_above_thresh,bracken_species_below_thresh,bracken_kept,bracken_discarded,bracken_redistributed,bracken_not_redistributed,bracken_total,preqc_avg_len_r1,preqc_med_len_r1,preqc_avg_len_r2,preqc_med_len_r2,postqc_avg_len_r1,postqc_med_len_r1,postqc_avg_len_r2,postqc_med_len_r2,bt_avg_r1,bt_med_r1,bt_avg_r2,bt_med_r2,clas_avg_r1,clas_med_r1,clas_avg_r2,clas_med_r2,unclas_avg_r1,unclas_avg_r2,unclas_med_r1,unclas_med_r2
run_2206_2357,k2_core_nt_20240904,01:42:47,A01_S1,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,348239,330761,2587,768,14123,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,330761,249410,35436,45915,3,249410,225935,23475,40,568,55,513,158424,1729,65412,370,223836,119.2,109.0,85.3,99.0,112.7,103.0,81.2,93.0,104.4,95.0,80.2,92.0,107.7,99.0,82.2,93.0,73.0,54.0,60.9,54.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A02_S2,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,369819,281266,2069,918,85566,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,281266,239124,36456,5686,3,239124,152294,86830,40,346,27,319,116149,1135,33488,1522,149637,99.7,80.0,72.5,80.0,109.4,96.0,77.5,92.0,97.5,83.0,74.9,83.0,117.6,112.0,83.5,94.0,62.3,57.0,59.8,57.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A03_S3,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,403288,356541,2392,1010,43345,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,356541,296929,44247,15365,3,296929,230464,66465,40,353,21,332,179437,1005,49777,245,229214,114.5,101.0,80.8,98.0,115.5,104.0,80.4,93.0,101.7,90.0,77.9,90.0,105.0,96.0,80.2,93.0,90.5,72.0,69.8,72.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A04_S4,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,196760,186777,1729,440,7814,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,186777,143365,28071,15341,3,143365,136154,7211,40,412,23,389,65863,1110,69023,158,134886,129.9,126.0,86.6,99.0,125.2,120.0,82.9,94.0,107.2,98.0,79.9,93.0,110.1,101.0,81.4,93.0,52.2,45.0,50.7,45.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A05_S5,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,348184,330215,1822,803,15344,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,330215,268007,37040,25168,3,268007,248499,19508,40,503,41,462,153055,1843,93035,566,246090,113.0,101.0,83.8,98.0,107.3,96.0,80.1,92.0,97.9,88.0,78.6,88.0,100.8,92.0,80.4,91.0,61.9,50.0,56.0,50.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A06_S6,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,154927,145690,1624,277,7336,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,145690,109465,33217,3008,3,109465,77047,32418,40,276,13,263,41193,632,34768,454,75961,146.4,172.0,89.8,99.0,141.5,158.0,86.1,94.0,128.4,129.0,84.1,94.0,129.9,130.0,85.5,94.0,124.7,124.0,81.0,94.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A07_S7,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,297011,237586,1421,558,57446,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,237586,210416,26623,547,3,210416,89126,121290,40,1029,25,1004,11735,2766,73899,726,85634,95.7,78.0,73.7,78.0,95.8,73.0,74.9,73.0,84.7,73.0,72.5,73.0,111.1,106.0,83.0,93.0,65.3,72.0,64.8,72.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A08_S8,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,543090,497943,3121,994,41032,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,497943,410098,84118,3727,3,410098,386835,23263,40,631,20,611,317199,1776,66865,995,384064,119.4,109.0,82.9,98.0,117.9,109.0,81.0,94.0,103.2,93.0,78.4,92.0,106.5,97.0,80.3,93.0,48.0,43.0,47.4,43.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A09_S9,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,400208,385625,4430,856,9297,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,385625,304835,59302,21488,3,304835,283997,20838,40,316,26,290,243973,1117,37604,1303,281577,139.1,143.0,90.3,99.0,130.3,128.0,85.0,94.0,122.1,117.0,84.2,94.0,124.8,120.0,85.5,94.0,85.9,65.0,67.3,65.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A10_S10,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,270835,264566,1642,448,4179,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,264566,229825,31180,3561,3,229825,214656,15169,40,279,34,245,125862,1153,86922,719,212784,147.6,156.0,93.6,99.0,141.7,147.0,89.0,94.0,135.7,136.0,88.5,94.0,136.9,137.0,89.0,94.0,119.7,114.0,80.8,94.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A11_S11,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,466442,455357,3160,741,7184,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,455357,318635,134395,2327,3,318635,308364,10271,40,396,25,371,256829,1223,50100,212,306929,145.7,155.0,92.6,99.0,139.3,145.0,87.9,94.0,118.2,114.0,85.4,94.0,119.3,115.0,86.1,94.0,85.1,57.0,64.1,57.0
run_2206_2357,k2_core_nt_20240904,01:42:47,A12_S12,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,428761,400701,3810,1019,23231,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,400701,280475,80495,39731,3,280475,260666,19809,40,364,27,337,192916,1119,66198,433,259114,136.8,145.0,87.3,99.0,133.5,139.0,84.4,94.0,111.5,104.0,80.6,93.0,114.9,109.0,82.3,94.0,66.4,50.0,57.9,50.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B01_S13,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,130686,127118,1175,309,2084,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,127118,90661,28443,8014,3,90661,83182,7479,40,438,35,403,53388,1283,28246,265,81634,150.0,160.0,94.1,100.0,141.7,147.0,89.1,95.0,129.8,129.0,88.1,94.0,130.8,130.0,88.8,94.0,118.7,114.0,80.0,94.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B02_S14,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,308753,295022,3034,558,10139,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,295022,257601,31053,6368,3,257601,244823,12778,40,422,27,395,210587,1204,32540,492,243127,147.2,161.0,92.0,100.0,142.3,152.0,88.1,95.0,136.7,141.0,87.4,94.0,138.8,143.0,88.3,95.0,96.1,75.0,70.2,75.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B03_S15,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,84,78,0,0,6,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,78,71,7,0,3,71,59,12,40,-,-,-,-,-,-,-,0,114.6,97.5,82.0,97.0,112.7,99.0,79.3,92.5,107.3,91.0,77.7,85.0,116.6,107.0,82.4,93.0,61.3,41.5,54.7,41.5
run_2206_2357,k2_core_nt_20240904,01:42:47,B04_S16,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,305231,280453,1870,643,22265,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,280453,260562,16946,2945,3,260562,226126,34436,40,343,24,319,172636,980,51804,706,224440,115.6,104.0,82.4,98.0,113.4,103.0,80.3,93.0,108.5,97.0,79.4,93.0,112.0,102.0,81.3,94.0,85.5,63.0,66.7,63.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B05_S17,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,817578,760255,5274,1600,50449,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,760255,709058,46035,5162,3,709058,619155,89903,40,819,42,777,509868,2211,106291,785,616159,118.6,109.0,83.7,99.0,115.7,106.0,81.1,94.0,111.2,101.0,80.3,93.0,116.0,108.0,82.5,94.0,77.7,60.0,64.7,60.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B06_S18,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,302212,286237,3064,895,12016,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,286237,235646,37782,12809,3,235646,217362,18284,40,1063,51,1012,151227,3541,61801,793,213028,135.6,138.0,88.7,99.0,129.7,130.0,84.9,94.0,121.1,117.0,83.7,94.0,125.1,122.0,85.5,94.0,73.9,55.0,61.7,55.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B07_S19,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,337,308,1,0,28,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,308,297,9,2,3,297,240,57,40,11,2,9,145,62,31,2,176,113.0,102.0,80.0,97.0,109.1,98.5,78.3,93.0,107.3,98.0,77.7,93.0,115.4,106.0,81.2,94.0,73.4,56.0,63.1,57.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B08_S20,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,199997,185280,1914,451,12352,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,185280,163713,15294,6273,3,163713,143202,20511,40,380,26,354,123197,1063,18562,380,141759,130.5,130.0,85.8,99.0,127.4,125.0,83.2,94.0,122.0,116.0,82.3,94.0,125.8,122.0,84.0,94.0,96.1,73.0,70.1,73.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B09_S21,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,390025,364440,2896,762,21927,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,364440,337129,17627,9684,3,337129,306490,30639,40,629,35,594,263233,1864,40850,543,304083,122.2,115.0,85.4,99.0,118.3,111.0,82.4,94.0,115.3,107.0,82.0,94.0,118.7,111.0,83.6,94.0,82.1,61.0,65.5,60.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B10_S22,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,314353,294627,2505,747,16474,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,294627,262073,24250,8304,3,262073,244772,17301,40,448,18,430,196803,1299,46465,205,243268,128.0,125.0,86.4,99.0,124.1,120.0,83.3,94.0,118.2,111.0,82.3,94.0,121.2,115.0,83.8,94.0,74.7,52.0,61.2,52.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B11_S23,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,384514,361029,2767,932,19786,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,361029,310674,34318,16037,3,310674,280976,29698,40,704,46,658,214249,2211,64100,416,278349,122.3,115.0,85.4,99.0,117.3,109.0,82.3,94.0,110.9,103.0,81.3,94.0,114.1,106.0,83.0,94.0,81.0,58.0,64.7,58.0
run_2206_2357,k2_core_nt_20240904,01:42:47,B12_S24,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,115616,106626,803,281,7906,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,106626,90415,10400,5811,3,90415,82384,8031,40,354,25,329,62683,954,18585,162,81268,123.3,116.0,84.6,99.0,119.5,112.0,82.1,94.0,112.9,104.0,81.0,94.0,116.9,109.0,83.1,94.0,72.4,52.0,59.7,52.0
run_2206_2357,k2_core_nt_20240904,01:42:47,Blank_S38,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,344217,257177,2021,665,84354,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,257177,231643,25323,211,3,231643,118047,113596,40,299,14,285,81501,1045,35059,442,116560,108.5,93.0,75.0,92.0,119.8,113.0,81.1,93.0,113.2,104.0,79.9,93.0,124.9,121.0,84.9,94.0,101.0,85.0,74.7,83.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C01_S25,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,422013,310381,1702,670,109260,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,310381,249286,50495,10600,3,249286,186732,62554,40,332,20,312,164919,856,20723,234,185642,106.5,90.0,74.7,89.0,120.6,114.0,81.8,94.0,104.2,94.0,78.7,92.0,114.9,110.0,83.7,94.0,72.1,66.0,64.1,66.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C02_S26,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,485954,369685,2527,897,112845,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,369685,323190,41977,4518,3,323190,185571,137619,40,565,23,542,118745,1479,63394,1953,182139,112.3,102.0,77.3,98.0,125.1,122.0,83.8,94.0,117.9,113.0,82.7,94.0,129.2,127.0,87.4,94.0,102.6,84.0,76.4,84.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C03_S27,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,343667,323212,3180,573,16702,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,323212,322177,930,105,3,322177,49279,272898,40,462,53,409,33840,1625,12389,1425,46229,134.8,137.0,88.2,99.0,131.3,132.0,85.1,94.0,131.2,131.0,85.1,94.0,150.6,168.0,90.2,95.0,127.7,125.0,84.2,94.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C04_S28,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,13,11,0,0,2,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,11,11,0,0,3,11,6,5,40,-,-,-,-,-,-,-,0,108.7,88.0,74.9,88.0,113.4,86.0,76.8,86.0,113.4,86.0,76.8,86.0,104.8,84.5,77.8,84.5,123.6,131.0,75.6,92.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C05_S29,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,246812,233254,1467,476,11615,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,233254,193301,30723,9230,3,193301,143529,49772,40,445,26,419,91475,1255,50685,114,142160,128.2,124.0,85.8,99.0,124.1,119.0,82.6,94.0,112.4,103.0,80.6,93.0,112.1,104.0,81.7,94.0,113.2,100.0,77.7,93.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C06_S30,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,416627,320737,2250,832,92808,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,320737,298145,20992,1600,3,298145,174709,123436,40,348,37,311,84864,1233,88455,157,173319,96.1,79.0,72.6,78.0,102.3,89.0,76.9,89.0,97.8,86.0,76.1,85.0,101.0,92.0,79.0,91.0,93.3,75.0,71.9,75.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C07_S31,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,28589,22265,112,40,6172,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,22265,16754,5511,0,3,16754,13175,3579,40,41,1,40,12996,76,45,58,13041,111.7,98.0,77.0,96.0,122.3,116.0,82.1,94.0,101.0,90.0,78.2,89.0,111.0,104.0,83.2,94.0,64.1,62.0,60.0,62.0
run_2206_2357,k2_core_nt_20240904,01:42:47,C08_S32,TruSeq3-PE-2.fa:2:30:10:8:true,5,5,240,4:15,10,35,241495,157955,1848,451,81241,GRCh38_noalt_as,end-to-end,very-sensitive,off,off,157955,142573,14174,1208,3,142573,118743,23830,40,213,10,203,112557,651,5337,198,117894,89.4,61.0,66.2,61.0,104.8,87.0,74.9,85.0,96.8,79.0,73.1,78.0,105.1,90.0,77.6,89.0,55.6,44.0,50.6,44.0
